Provincia,Partido,Localidad,Link Indec,Otros,<= 1 Mbps,"> 1 Mbps, <= 5 Mbps","> 5 Mbps, <= 10 Mbps","> 10 Mbps, <= 15 Mbps","> 15 Mbps, <= 20 Mbps","> 20 Mbps, <= 25 Mbps","> 25 Mbps, <= 30 Mbps","> 30 Mbps, <= 50 Mbps",> 50 Mbps,Total,% <= 10Mbps,% <= 25Mbps,Poblacion,Latitud,Longitud
CHACO,General Güemes,Fuerte Esperanza,22063050,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1376.0,-25.1560600566745,-61.8424104268078
CHACO,General Güemes,Juan José Castelli,22063060,140.0,3.0,339.0,1114.0,87.0,0.0,0.0,0.0,0.0,0.0,1683.0,86.51218062982768,91.6815210932858,27201.0,-25.9504150377594,-60.6243211030425
CHACO,General Güemes,Miraflores,22063070,10.0,0.0,305.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,98.2174688057041,98.2174688057041,4737.0,-25.6489334968628,-60.9300401901344
CHACO,General Güemes,Nueva Pompeya,22063080,0.0,3.0,308.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,100.0,100.0,2259.0,-24.9334418837191,-61.4846998398146
CHACO,General Güemes,Villa Río Bermejito,22063100,79.0,2.0,135.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,81.49882903981265,81.49882903981265,3752.0,-25.6424413894079,-60.2629438807651
CHACO,General Güemes,Wichi,22063110,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,100.0,100.0,773.0,-24.6913977720534,-61.4304454802334
CHACO,Independencia,Avia Terai,22070010,24.0,2.0,2.0,84.0,10.0,0.0,0.0,0.0,0.0,0.0,122.0,72.1311475409836,80.32786885245902,6203.0,-26.6904269113097,-60.7309487066584
CHACO,Independencia,Campo Largo,22070020,18.0,1.0,5.0,120.0,13.0,0.0,0.0,0.0,0.0,450.0,607.0,20.757825370675455,22.899505766062603,9069.0,-26.8038644067827,-60.8423032131182
CHACO,Libertad,Laguna Blanca,22077030,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,100.0,547.0,-27.2572195505018,-59.2340486127892
CHACO,Libertad,Puerto Tirol,22077040,165.0,8.0,85.0,474.0,170.0,0.0,0.0,0.0,0.0,0.0,902.0,62.86031042128604,81.70731707317073,8819.0,-27.3745125614532,-59.0953159917862
CHACO,Libertador General San Martín,Ciervo Petiso,22084010,0.0,1.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0204081632653061,100.0,786.0,-26.5815849580294,-59.6329803967089
CHACO,Libertador General San Martín,General José de San Martín,22084020,125.0,4.0,157.0,742.0,130.0,2225.0,0.0,2393.0,1358.0,56.0,7190.0,12.559109874826147,45.31293463143255,28124.0,-26.5340730622708,-59.334711358946
CHACO,Libertador General San Martín,La Eduvigis,22084030,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,392.0,-26.8374120457599,-59.0641175796047
CHACO,Libertador General San Martín,Laguna Limpia,22084040,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,100.0,100.0,1207.0,-26.4967013914467,-59.6799372880349
CHACO,Libertador General San Martín,Pampa Almirón,22084050,18.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,75.34246575342466,1278.0,-26.702247857191,-59.1237850343206
CHACO,Libertador General San Martín,Pampa del Indio,22084060,12.0,2.0,17.0,60.0,680.0,0.0,0.0,0.0,0.0,0.0,771.0,10.246433203631646,98.44357976653697,9204.0,-26.050714758193,-59.9412241077467
